nivel,seccion,pagina_pdf,uso_grupo,codigo_actividad,actividad,distrito,sector,compatibilidad,compatibilidad_desc,confianza_color,fuente,nota
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,D4,D - Independencia-Alamitos,C,Compatible,188,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,E1,E - Cetys-Tecnologico,C,Compatible,175,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,E2,E - Cetys-Tecnologico,NP,No permitida,113,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,E3,E - Cetys-Tecnologico,C,Compatible,192,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,E4,E - Cetys-Tecnologico,NP,No permitida,113,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,E5,E - Cetys-Tecnologico,NP,No permitida,102,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,E6,E - Cetys-Tecnologico,NP,No permitida,123,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,E7,E - Cetys-Tecnologico,NP,No permitida,102,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,F1,F - Abasolo,NP,No permitida,113,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,F2,F - Abasolo,NP,No permitida,112,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,F3,F - Abasolo,NP,No permitida,113,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,F4,F - Abasolo,NP,No permitida,102,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.3,Popular,F5,F - Abasolo,NP,No permitida,113,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,A1,A - Santorales,,,0,matriz de compatibilidad del PDUCPM.pdf,Extraido por clasificacion de simbolos de color; revisar celdas vacias o confianza baja.
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,B1,B - Nacionalista-Orizaba,C,Compatible,143,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,B2,B - Nacionalista-Orizaba,C,Compatible,79,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,B3,B - Nacionalista-Orizaba,C,Compatible,100,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,B4,B - Nacionalista-Orizaba,C,Compatible,85,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,B5,B - Nacionalista-Orizaba,C,Compatible,85,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,B6,B - Nacionalista-Orizaba,C,Compatible,102,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,B7,B - Nacionalista-Orizaba,C,Compatible,100,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,C1,C - Central,C,Compatible,96,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,C2,C - Central,C,Compatible,109,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,C3,C - Central,NP,No permitida,72,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,C4,C - Central,COND,Condicionada,75,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,C5,C - Central,C,Compatible,113,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,C6,C - Central,NP,No permitida,81,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,C7,C - Central,COND,Condicionada,73,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,C8,C - Central,NP,No permitida,92,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,C9,C - Central,NP,No permitida,83,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,C10,C - Central,COND,Condicionada,87,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,C11,C - Central,C,Compatible,145,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,C12,C - Central,C,Compatible,143,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,C13,C - Central,C,Compatible,147,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,C14,C - Central,C,Compatible,143,matriz de compatibilidad del PDUCPM.pdf,
Ciudad - area urbana,A-F,23,Habitacional,1.1.4,Interés social,C15,C - Central,COND,Condicionada,93,matriz de compatibilidad del PDUCPM.pdf,
